id_estado,estado,id_municipio,municipio,confirmado,muerto,recuperado,activo,sospechoso,negativo,latitud,longitud
10,DURANGO,28,SABINAS,1.0,0.0,0,1.0,0.0,1.0,24.80750218,-104.4703712
10,DURANGO,29,SACRAMENTO,0.0,0.0,0,0.0,0.0,1.0,25.37613332,-104.306484
10,DURANGO,32,SAN JUAN DE SABINAS,0.0,0.0,0,0.0,0.0,2.0,24.98452558,-105.6902567
10,DURANGO,36,VIESCA,0.0,0.0,0,0.0,4.0,2.0,26.34561443,-103.6256449
10,DURANGO,38,ZARAGOZA,0.0,0.0,0,0.0,1.0,1.0,23.73338247,-103.9510311
10,DURANGO,39,HUITIUPÁN,0.0,0.0,0,0.0,0.0,1.0,24.84688532,-105.0379997
11,GUANAJUATO,1,AGUASCALIENTES,2.0,0.0,0,2.0,4.0,2.0,20.53336738,-101.53602420000001
11,GUANAJUATO,2,ASIENTOS,3.0,1.0,0,2.0,10.0,36.0,20.05251142,-100.7519531
11,GUANAJUATO,3,CALVILLO,3.0,0.0,0,3.0,6.0,31.0,20.92532648,-100.73770859999999
11,GUANAJUATO,4,COSÍO,0.0,0.0,0,0.0,2.0,6.0,20.42186713,-100.5735202
11,GUANAJUATO,5,JESÚS MARÍA,0.0,0.0,0,0.0,2.0,9.0,20.57554015,-100.6217277
11,GUANAJUATO,6,PABELLÓN DE ARTEAGA,0.0,0.0,0,0.0,0.0,1.0,21.2652288,-99.8044405
11,GUANAJUATO,7,RINCÓN DE ROMOS,7.0,1.0,0,6.0,17.0,77.0,20.53763975,-100.7878625
11,GUANAJUATO,8,SAN JOSÉ DE GRACIA,0.0,0.0,0,0.0,1.0,4.0,20.71299774,-101.87978709999999
11,GUANAJUATO,9,TEPEZALÁ,0.0,0.0,0,0.0,2.0,3.0,20.74128658,-100.7911255
11,GUANAJUATO,10,EL LLANO,0.0,0.0,0,0.0,1.0,4.0,20.21701764,-100.3835957
11,GUANAJUATO,11,SAN FRANCISCO DE LOS ROMO,2.0,0.0,0,2.0,2.0,10.0,20.42913355,-100.9383733
11,GUANAJUATO,12,GUERRERO,0.0,0.0,0,0.0,3.0,7.0,20.615244699999998,-101.6680132
11,GUANAJUATO,14,JIMÉNEZ,0.0,0.0,0,0.0,5.0,18.0,21.14713388,-100.934751
11,GUANAJUATO,15,JUÁREZ,7.0,1.0,0,6.0,11.0,42.0,21.0185589,-101.23733709999999
11,GUANAJUATO,16,LAMADRID,0.0,0.0,0,0.0,4.0,2.0,20.36737073,-101.4990028
11,GUANAJUATO,17,MATAMOROS,14.0,0.0,0,14.0,32.0,115.0,20.69988553,-101.368299
11,GUANAJUATO,18,MONCLOVA,0.0,0.0,0,0.0,1.0,8.0,20.35881494,-101.0520911
11,GUANAJUATO,19,MORELOS,0.0,0.0,0,0.0,5.0,22.0,20.19720466,-100.50789920000001
11,GUANAJUATO,20,MÚZQUIZ,43.0,0.0,0,43.0,168.0,1058.0,21.12484522,-101.6223923
11,GUANAJUATO,21,NADADORES,1.0,0.0,0,1.0,2.0,11.0,20.08432761,-101.24468900000001
11,GUANAJUATO,22,NAVA,0.0,0.0,0,0.0,0.0,11.0,21.57969326,-101.4730056
11,GUANAJUATO,23,OCAMPO,2.0,1.0,0,1.0,3.0,15.0,20.40171535,-101.8158502
11,GUANAJUATO,24,PARRAS,0.0,0.0,0,0.0,0.0,1.0,20.54993135,-101.3612571
11,GUANAJUATO,25,PIEDRAS NEGRAS,0.0,0.0,0,0.0,0.0,10.0,20.92758994,-101.92853170000001
11,GUANAJUATO,26,PROGRESO,0.0,0.0,0,0.0,1.0,14.0,20.82582086,-101.5951223
11,GUANAJUATO,27,RAMOS ARIZPE,22.0,5.0,0,17.0,16.0,66.0,20.62521441,-101.1650892
11,GUANAJUATO,28,SABINAS,0.0,0.0,0,0.0,11.0,21.0,20.20763509,-100.9151253
11,GUANAJUATO,29,SACRAMENTO,0.0,0.0,0,0.0,7.0,6.0,21.44222651,-100.8464187
11,GUANAJUATO,30,SALTILLO,0.0,0.0,0,0.0,5.0,18.0,21.5035158,-101.23362900000001
11,GUANAJUATO,31,SAN BUENAVENTURA,0.0,0.0,0,0.0,2.0,28.0,20.91916373,-101.788522
11,GUANAJUATO,32,SAN JUAN DE SABINAS,0.0,0.0,0,0.0,0.0,4.0,21.00235213,-100.38859570000001
11,GUANAJUATO,33,SAN PEDRO,1.0,0.0,0,1.0,4.0,17.0,21.39960976,-100.4761847
11,GUANAJUATO,34,SIERRA MOJADA,0.0,0.0,0,0.0,0.0,1.0,21.1506973,-100.0719052
11,GUANAJUATO,35,TORREÓN,0.0,0.0,0,0.0,1.0,4.0,20.67414225,-100.99409370000001
11,GUANAJUATO,36,VIESCA,0.0,0.0,0,0.0,3.0,0.0,20.15823918,-100.9903632
11,GUANAJUATO,37,VILLA UNIÓN,2.0,0.0,0,2.0,1.0,24.0,20.96317529,-101.43778859999999
11,GUANAJUATO,38,ZARAGOZA,0.0,0.0,0,0.0,6.0,3.0,20.00449005,-100.52890670000001
11,GUANAJUATO,39,HUITIUPÁN,0.0,0.0,0,0.0,1.0,2.0,20.29677057,-100.74149279999999
