,confirmado,negativo,sospechoso,muerto,recuperado,activo,estado,municipio,id_estado,id_municipio,entidad_qa,municipio_qa,id_estado,estado,id_municipio,municipio,confirmado,muerto,recuperado,activo,sospechoso,negativo,latitud,longitud
"(7, 8)",0,1,2,0,0,0,CHIAPAS,ANGEL ALBINO CORZO,7,8,V,V,7,CHIAPAS,8,ANGEL ALBINO CORZO,0,0,0,0,2,1,15.75818655,-92.68045625
"(7, 9)",1,4,1,0,0,1,CHIAPAS,ARRIAGA,7,9,V,V,7,CHIAPAS,9,ARRIAGA,1,0,0,1,1,4,16.24892811,-93.93735615
"(7, 12)",0,3,0,0,0,0,CHIAPAS,BERRIOZÁBAL,7,12,V,V,7,CHIAPAS,12,BERRIOZÁBAL,0,0,0,0,0,3,16.86665416,-93.31908417
"(7, 14)",0,1,0,0,0,0,CHIAPAS,EL BOSQUE,7,14,V,V,7,CHIAPAS,14,EL BOSQUE,0,0,0,0,0,1,17.03175666,-92.7412895
"(7, 15)",1,2,1,0,0,1,CHIAPAS,CACAHOATÁN,7,15,V,V,7,CHIAPAS,15,CACAHOATÁN,1,0,0,1,1,2,15.08625951,-92.16413312
"(7, 16)",0,3,0,0,0,0,CHIAPAS,CATAZAJÁ,7,16,V,V,7,CHIAPAS,16,CATAZAJÁ,0,0,0,0,0,3,17.7799182,-91.99758786
"(7, 17)",0,9,1,0,0,0,CHIAPAS,CINTALAPA,7,17,V,V,7,CHIAPAS,17,CINTALAPA,0,0,0,0,1,9,16.71318599,-93.86742302
"(7, 18)",0,0,1,0,0,0,CHIAPAS,COAPILLA,7,18,V,V,7,CHIAPAS,18,COAPILLA,0,0,0,0,1,0,17.12058481,-93.12608211
"(7, 19)",4,6,3,0,0,4,CHIAPAS,COMITÁN DE DOMÍNGUEZ,7,19,V,V,7,CHIAPAS,19,COMITÁN DE DOMÍNGUEZ,4,0,0,4,3,6,16.29700906,-92.17899793
"(7, 20)",0,2,0,0,0,0,CHIAPAS,LA CONCORDIA,7,20,V,V,7,CHIAPAS,20,LA CONCORDIA,0,0,0,0,0,2,15.96101601,-92.77120522
"(7, 21)",0,1,0,0,0,0,CHIAPAS,COPAINALÁ,7,21,V,V,7,CHIAPAS,21,COPAINALÁ,0,0,0,0,0,1,17.09419804,-93.25285944
